SCL,WVP,B12,B11,B09,B8A,B08,B07,B06,B05,B04,B03,B02,B01,AOT
6.00000,2161.00000,77.00000,86.00000,145.00000,292.00000,389.00000,503.00000,500.00000,1044.00000,1060.00000,1074.00000,737.00000,586.00000,143.00000
6.00000,2161.00000,61.00000,93.00000,122.00000,315.00000,400.00000,493.00000,497.00000,1051.00000,1072.00000,1078.00000,767.00000,592.00000,140.00000
6.00000,2161.00000,83.00000,107.00000,151.00000,305.00000,408.00000,513.00000,518.00000,1055.00000,1076.00000,1082.00000,769.00000,595.00000,137.00000
6.00000,2161.00000,74.00000,81.00000,129.00000,283.00000,385.00000,488.00000,492.00000,1016.00000,1006.00000,1022.00000,719.00000,571.00000,135.00000
6.00000,2161.00000,69.00000,87.00000,154.00000,278.00000,352.00000,430.00000,431.00000,893.00000,849.00000,1011.00000,712.00000,571.00000,125.00000
6.00000,2161.00000,71.00000,85.00000,150.00000,267.00000,340.00000,432.00000,429.00000,892.00000,842.00000,1021.00000,713.00000,569.00000,130.00000
6.00000,2161.00000,72.00000,85.00000,137.00000,282.00000,343.00000,435.00000,451.00000,897.00000,833.00000,1018.00000,731.00000,569.00000,125.00000
6.00000,2161.00000,60.00000,81.00000,139.00000,332.00000,432.00000,544.00000,543.00000,1074.00000,1023.00000,1012.00000,695.00000,535.00000,125.00000
6.00000,2161.00000,71.00000,90.00000,145.00000,312.00000,428.00000,531.00000,526.00000,1075.00000,989.00000,1018.00000,685.00000,539.00000,125.00000
6.00000,2161.00000,76.00000,90.00000,122.00000,272.00000,355.00000,489.00000,491.00000,1039.00000,1036.00000,1050.00000,742.00000,567.00000,125.00000
6.00000,2161.00000,71.00000,89.00000,137.00000,255.00000,350.00000,454.00000,456.00000,1024.00000,995.00000,1042.00000,737.00000,561.00000,125.00000
6.00000,2161.00000,72.00000,87.00000,119.00000,266.00000,345.00000,432.00000,436.00000,976.00000,954.00000,1056.00000,739.00000,570.00000,157.00000
6.00000,2161.00000,73.00000,97.00000,135.00000,275.00000,364.00000,439.00000,464.00000,1003.00000,1022.00000,1086.00000,785.00000,593.00000,136.00000
6.00000,2161.00000,77.00000,94.00000,154.00000,290.00000,365.00000,463.00000,477.00000,1005.00000,976.00000,1092.00000,764.00000,587.00000,123.00000
6.00000,2161.00000,94.00000,104.00000,141.00000,300.00000,359.00000,473.00000,481.00000,1014.00000,1040.00000,1060.00000,765.00000,603.00000,201.00000
