SCL,WVP,B12,B11,B09,B8A,B08,B07,B06,B05,B04,B03,B02,B01,AOT
6.00000,2161.00000,55.00000,108.00000,1823.00000,891.00000,1000.00000,1062.00000,1208.00000,1202.00000,562.00000,899.00000,483.00000,329.00000,120.00000
6.00000,2161.00000,66.00000,186.00000,994.00000,1473.00000,1262.00000,1834.00000,1692.00000,1355.00000,493.00000,873.00000,459.00000,340.00000,120.00000
4.00000,2633.00000,173.00000,603.00000,5605.00000,5724.00000,5572.00000,5979.00000,5382.00000,2051.00000,455.00000,1146.00000,445.00000,268.00000,116.00000
4.00000,2895.00000,142.00000,467.00000,4426.00000,4781.00000,4508.00000,5143.00000,4771.00000,2013.00000,445.00000,1088.00000,426.00000,274.00000,116.00000
4.00000,3605.00000,121.00000,377.00000,3852.00000,4433.00000,5340.00000,4794.00000,4430.00000,1881.00000,457.00000,1110.00000,434.00000,307.00000,116.00000
4.00000,3128.00000,168.00000,582.00000,4416.00000,5525.00000,4840.00000,5802.00000,5299.00000,2049.00000,470.00000,1088.00000,437.00000,295.00000,116.00000
6.00000,2161.00000,51.00000,108.00000,593.00000,1221.00000,1224.00000,1656.00000,1532.00000,1316.00000,493.00000,866.00000,458.00000,365.00000,120.00000
6.00000,3867.00000,46.00000,99.00000,1520.00000,1230.00000,1990.00000,1658.00000,1576.00000,1289.00000,419.00000,878.00000,399.00000,351.00000,120.00000
4.00000,3777.00000,151.00000,478.00000,4570.00000,5022.00000,5328.00000,5521.00000,4933.00000,2025.00000,460.00000,1108.00000,434.00000,294.00000,120.00000
4.00000,3278.00000,143.00000,475.00000,3425.00000,4071.00000,3904.00000,4470.00000,4334.00000,1981.00000,458.00000,1078.00000,421.00000,275.00000,117.00000
4.00000,3577.00000,138.00000,443.00000,3392.00000,4232.00000,3992.00000,4551.00000,4401.00000,1986.00000,446.00000,1092.00000,422.00000,276.00000,116.00000
4.00000,2161.00000,61.00000,174.00000,541.00000,2009.00000,2214.00000,2476.00000,2260.00000,1428.00000,429.00000,887.00000,444.00000,393.00000,120.00000
6.00000,2161.00000,52.00000,91.00000,1052.00000,1020.00000,1368.00000,1368.00000,1337.00000,1189.00000,435.00000,828.00000,420.00000,302.00000,120.00000
6.00000,2161.00000,60.00000,121.00000,651.00000,1308.00000,1494.00000,1689.00000,1630.00000,1241.00000,428.00000,832.00000,425.00000,368.00000,120.00000
4.00000,4920.00000,85.00000,267.00000,498.00000,3056.00000,3094.00000,3745.00000,3569.00000,1675.00000,438.00000,965.00000,408.00000,342.00000,120.00000
4.00000,4163.00000,91.00000,266.00000,1341.00000,2823.00000,3178.00000,3255.00000,3108.00000,1622.00000,456.00000,969.00000,436.00000,372.00000,120.00000
4.00000,4418.00000,86.00000,259.00000,626.00000,3342.00000,3018.00000,3878.00000,3526.00000,1758.00000,427.00000,916.00000,406.00000,351.00000,121.00000
4.00000,3777.00000,153.00000,504.00000,4570.00000,5108.00000,5084.00000,5492.00000,5087.00000,2044.00000,442.00000,1120.00000,431.00000,294.00000,120.00000
4.00000,3842.00000,138.00000,469.00000,864.00000,4863.00000,4792.00000,5280.00000,4808.00000,2015.00000,452.00000,1074.00000,447.00000,383.00000,120.00000
4.00000,3577.00000,138.00000,443.00000,3392.00000,4232.00000,4472.00000,4551.00000,4401.00000,1986.00000,456.00000,1104.00000,435.00000,276.00000,116.00000
4.00000,3278.00000,143.00000,475.00000,3425.00000,4071.00000,3526.00000,4470.00000,4334.00000,1981.00000,439.00000,1078.00000,426.00000,275.00000,117.00000
4.00000,3830.00000,145.00000,466.00000,3108.00000,4515.00000,4704.00000,4974.00000,4619.00000,1993.00000,455.00000,1124.00000,447.00000,294.00000,116.00000
4.00000,3266.00000,175.00000,582.00000,4789.00000,5364.00000,5552.00000,5726.00000,5239.00000,2052.00000,477.00000,1146.00000,451.00000,298.00000,118.00000
4.00000,3650.00000,119.00000,376.00000,3497.00000,3563.00000,4688.00000,3932.00000,3747.00000,1828.00000,457.00000,1130.00000,430.00000,316.00000,120.00000
4.00000,3176.00000,152.00000,448.00000,4195.00000,4671.00000,4820.00000,5029.00000,4762.00000,1982.00000,444.00000,1096.00000,451.00000,285.00000,120.00000
4.00000,4525.00000,58.00000,148.00000,1459.00000,1797.00000,3388.00000,2200.00000,2179.00000,1477.00000,461.00000,991.00000,415.00000,341.00000,120.00000
4.00000,3244.00000,80.00000,257.00000,2450.00000,3033.00000,3562.00000,3547.00000,3234.00000,1703.00000,437.00000,995.00000,410.00000,288.00000,120.00000
4.00000,3714.00000,150.00000,525.00000,4209.00000,5123.00000,4856.00000,5553.00000,5070.00000,2071.00000,451.00000,1078.00000,442.00000,291.00000,118.00000
4.00000,2161.00000,63.00000,180.00000,2576.00000,1760.00000,2008.00000,2069.00000,2028.00000,1368.00000,470.00000,926.00000,438.00000,321.00000,116.00000
4.00000,3273.00000,102.00000,315.00000,3852.00000,3891.00000,4132.00000,4300.00000,3953.00000,1869.00000,462.00000,1054.00000,427.00000,307.00000,116.00000
4.00000,3489.00000,162.00000,552.00000,1909.00000,5291.00000,5292.00000,5760.00000,5199.00000,2068.00000,474.00000,1122.00000,444.00000,365.00000,116.00000
4.00000,3276.00000,133.00000,376.00000,4416.00000,4116.00000,5128.00000,4431.00000,4063.00000,1794.00000,451.00000,1096.00000,451.00000,295.00000,116.00000
4.00000,3259.00000,138.00000,438.00000,3890.00000,4749.00000,5084.00000,5263.00000,4808.00000,1983.00000,451.00000,1080.00000,432.00000,290.00000,119.00000
4.00000,3826.00000,138.00000,477.00000,2375.00000,5117.00000,5260.00000,5418.00000,5144.00000,2024.00000,450.00000,1120.00000,443.00000,329.00000,120.00000
4.00000,4624.00000,67.00000,154.00000,793.00000,2187.00000,2900.00000,2580.00000,2518.00000,1483.00000,446.00000,924.00000,401.00000,352.00000,120.00000
4.00000,4875.00000,66.00000,182.00000,2224.00000,2371.00000,3548.00000,2600.00000,2833.00000,1525.00000,465.00000,981.00000,417.00000,349.00000,120.00000
6.00000,2161.00000,50.00000,106.00000,626.00000,1340.00000,1616.00000,1782.00000,1722.00000,1291.00000,419.00000,828.00000,443.00000,351.00000,120.00000
4.00000,4418.00000,108.00000,346.00000,424.00000,3985.00000,4220.00000,4774.00000,4137.00000,1973.00000,455.00000,1028.00000,426.00000,407.00000,121.00000
4.00000,4192.00000,57.00000,125.00000,1052.00000,1588.00000,1886.00000,1993.00000,1952.00000,1376.00000,403.00000,843.00000,388.00000,302.00000,120.00000
6.00000,2161.00000,52.00000,118.00000,408.00000,1249.00000,1362.00000,1607.00000,1576.00000,1240.00000,452.00000,832.00000,453.00000,381.00000,120.00000
