SCL,WVP,B12,B11,B09,B8A,B08,B07,B06,B05,B04,B03,B02,B01,AOT
4.00000,2372.00000,386.00000,883.00000,3089.00000,3099.00000,2954.00000,3026.00000,2563.00000,945.00000,313.00000,615.00000,319.00000,224.00000,200.00000
4.00000,3067.00000,330.00000,598.00000,1658.00000,1930.00000,2626.00000,2010.00000,1594.00000,868.00000,375.00000,508.00000,301.00000,410.00000,195.00000
4.00000,2996.00000,353.00000,763.00000,2300.00000,2643.00000,2540.00000,2589.00000,2287.00000,971.00000,362.00000,644.00000,363.00000,353.00000,206.00000
4.00000,3085.00000,376.00000,841.00000,1175.00000,3519.00000,3550.00000,3606.00000,2871.00000,935.00000,318.00000,595.00000,304.00000,488.00000,208.00000
4.00000,2461.00000,376.00000,830.00000,2843.00000,2899.00000,2742.00000,2777.00000,2402.00000,917.00000,360.00000,633.00000,342.00000,250.00000,197.00000
4.00000,3139.00000,256.00000,543.00000,1279.00000,2001.00000,1744.00000,1939.00000,1835.00000,941.00000,510.00000,757.00000,495.00000,434.00000,210.00000
4.00000,2694.00000,421.00000,923.00000,2550.00000,3295.00000,3450.00000,3120.00000,2672.00000,941.00000,287.00000,591.00000,271.00000,291.00000,204.00000
4.00000,2923.00000,408.00000,825.00000,2447.00000,2527.00000,2972.00000,2451.00000,2031.00000,915.00000,343.00000,522.00000,262.00000,324.00000,200.00000
4.00000,2670.00000,373.00000,779.00000,2400.00000,2610.00000,2900.00000,2477.00000,2125.00000,892.00000,308.00000,527.00000,281.00000,303.00000,200.00000
4.00000,2365.00000,351.00000,774.00000,2550.00000,2578.00000,2398.00000,2589.00000,2224.00000,937.00000,372.00000,654.00000,346.00000,291.00000,204.00000
4.00000,2397.00000,358.00000,807.00000,2696.00000,2715.00000,2464.00000,2608.00000,2275.00000,917.00000,366.00000,642.00000,362.00000,279.00000,204.00000
4.00000,2415.00000,389.00000,888.00000,3082.00000,3046.00000,3016.00000,3020.00000,2461.00000,941.00000,309.00000,572.00000,296.00000,233.00000,201.00000
4.00000,2370.00000,375.00000,874.00000,3054.00000,3066.00000,3084.00000,3065.00000,2521.00000,933.00000,305.00000,618.00000,311.00000,228.00000,197.00000
4.00000,2532.00000,340.00000,760.00000,2613.00000,2632.00000,2524.00000,2553.00000,2229.00000,949.00000,371.00000,641.00000,355.00000,284.00000,191.00000
4.00000,2436.00000,320.00000,727.00000,2101.00000,2575.00000,2486.00000,2488.00000,2110.00000,946.00000,348.00000,656.00000,355.00000,333.00000,192.00000
4.00000,2592.00000,361.00000,831.00000,2360.00000,2945.00000,2676.00000,2844.00000,2370.00000,963.00000,355.00000,621.00000,344.00000,327.00000,194.00000
4.00000,2343.00000,324.00000,744.00000,2163.00000,2503.00000,2520.00000,2499.00000,2134.00000,904.00000,366.00000,634.00000,343.00000,332.00000,185.00000
4.00000,2623.00000,410.00000,988.00000,3604.00000,3690.00000,3310.00000,3502.00000,2845.00000,918.00000,325.00000,591.00000,323.00000,217.00000,232.00000
4.00000,2474.00000,415.00000,1011.00000,3295.00000,3658.00000,3670.00000,3556.00000,2912.00000,973.00000,263.00000,588.00000,279.00000,226.00000,235.00000
4.00000,2335.00000,468.00000,1109.00000,3904.00000,4171.00000,4060.00000,3889.00000,3146.00000,992.00000,270.00000,552.00000,236.00000,201.00000,239.00000
